"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Fri Jan 15 2021 15:00:00 GMT+0530 (India Standard Time),""14441.30"",""14446.90"",""14419.50"",""14433.45"",""-111.70"""
"Fri Jan 15 2021 15:15:00 GMT+0530 (India Standard Time),""14432.30"",""14444.75"",""14425.15"",""14434.40"",""-96.57"""
"Mon Jan 18 2021 09:15:00 GMT+0530 (India Standard Time),""14453.30"",""14454.90"",""14379.85"",""14380.60"",""-133.54"""
"Mon Jan 18 2021 09:30:00 GMT+0530 (India Standard Time),""14381.00"",""14384.15"",""14322.55"",""14361.65"",""-183.89"""
"Mon Jan 18 2021 09:45:00 GMT+0530 (India Standard Time),""14361.60"",""14381.70"",""14320.80"",""14321.55"",""-172.56"""
"Mon Jan 18 2021 10:00:00 GMT+0530 (India Standard Time),""14323.65"",""14351.60"",""14315.75"",""14340.50"",""-150.88"""
"Mon Jan 18 2021 10:15:00 GMT+0530 (India Standard Time),""14340.10"",""14341.00"",""14291.75"",""14300.90"",""-156.33"""
"Mon Jan 18 2021 10:30:00 GMT+0530 (India Standard Time),""14300.10"",""14308.10"",""14264.30"",""14308.10"",""-153.99"""
"Mon Jan 18 2021 10:45:00 GMT+0530 (India Standard Time),""14307.45"",""14317.25"",""14278.95"",""14287.20"",""-132.31"""
"Mon Jan 18 2021 11:00:00 GMT+0530 (India Standard Time),""14286.00"",""14335.65"",""14274.50"",""14329.75"",""-100.27"""
"Mon Jan 18 2021 11:15:00 GMT+0530 (India Standard Time),""14328.75"",""14346.55"",""14299.45"",""14302.00"",""-87.27"""
"Mon Jan 18 2021 11:30:00 GMT+0530 (India Standard Time),""14301.35"",""14314.95"",""14280.30"",""14284.05"",""-97.19"""
"Mon Jan 18 2021 11:45:00 GMT+0530 (India Standard Time),""14283.50"",""14300.70"",""14269.20"",""14269.65"",""-99.23"""
"Mon Jan 18 2021 12:00:00 GMT+0530 (India Standard Time),""14270.95"",""14303.85"",""14266.30"",""14298.10"",""-82.79"""
